post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
162566882.money-is-dehydrated-life-force,2025-04-30T20:04:15.581Z,true,2025-04-30T20:04:15.752Z,2025-04-30T20:04:15.752Z,newsletter,everyone,Money is dehydrated life force,"Money isn't everything, but it's connected to it all",
161320850.accidentally-being-seen-through,2025-04-14T19:35:58.561Z,true,2025-04-14T19:35:58.678Z,2025-04-14T19:35:58.678Z,newsletter,everyone,Accidentally being seen through,Be careful what you ask for... you just might get it!,
160147154.running-on-grief,2025-03-29T19:07:30.928Z,true,2025-03-29T19:07:31.024Z,2025-03-29T19:07:31.024Z,newsletter,everyone,Running on grief,Learning to stop running and love the bag,
158797943.dreams-as-initiation,2025-03-10T20:08:33.524Z,true,2025-03-10T20:08:33.640Z,2025-03-10T20:08:33.640Z,newsletter,everyone,Dreams as initiation,How I learned to stop running and just hug the Minotaur.,
157028280.ai-for-musing,2025-02-12T22:48:30.111Z,true,2025-02-12T22:48:30.242Z,2025-02-12T22:48:30.242Z,newsletter,everyone,AI for musing,Turning to a chatbot to reflect and articulate everyday reflections,
157008468.loving-the-work,2025-02-12T17:37:02.198Z,true,2025-02-12T17:37:02.294Z,2025-02-12T17:37:02.294Z,newsletter,everyone,Loving the work,Finding the gap between non-coercion and enjoyment and blowing it the fuck up,
156492783.chatgpt-as-a-cultural-telescope,2025-02-04T23:39:42.332Z,true,2025-02-04T23:39:42.445Z,2025-02-04T23:39:42.445Z,newsletter,everyone,ChatGPT as a cultural telescope,Using digital intelligence to see more clearly into the past,
154515153.feeling-through-the-chaos,2025-01-10T00:19:34.621Z,true,2025-01-10T00:19:34.735Z,2025-01-10T00:19:34.735Z,newsletter,everyone,Feeling through the chaos,More fetter work. I might try this every day for a month and see what happens. Would there be anything left?,
154504435.a-day-of-reflection,2025-01-09T20:06:26.604Z,true,2025-01-09T20:06:26.682Z,2025-01-09T20:06:26.682Z,newsletter,everyone,A day of reflection,This is what happens when I slow down and sit,
147341273.agents-i-have-known-and-loved,2024-08-04T17:23:44.077Z,true,2024-08-04T17:23:44.191Z,2024-08-04T17:23:44.191Z,newsletter,everyone,Agents I have known and loved,A tribute to my favorite entities and the prompts that create them,
147321945.a-quick-philosophy,2024-08-03T21:58:11.158Z,true,2024-08-03T21:58:11.277Z,2024-08-03T21:58:11.277Z,newsletter,everyone,A quick philosophy,Co-writing with Otter and Claude,
145767214.the-chips-stay-on-the-table,2024-06-18T17:34:46.376Z,true,2024-06-18T17:34:46.444Z,2024-06-18T17:34:46.444Z,newsletter,everyone,The chips stay on the table,It all plays out here,
145576141.back-in-my-body,2024-06-12T16:27:26.758Z,true,2024-06-12T16:27:26.859Z,2024-06-12T16:27:26.859Z,newsletter,everyone,Back in my body,"Technically, I never left, but that's a distinction without a difference.",
144862967.llm-primitives-or-ai-building-blocks,2024-05-22T05:28:39.015Z,true,2024-05-22T05:28:39.129Z,2024-05-22T05:28:39.129Z,newsletter,everyone,"LLM primitives, or AI building blocks",LLMs as language mungers,
144380862.just-technology,2024-05-06T21:48:33.131Z,true,2024-05-06T21:48:33.294Z,2024-05-06T21:48:33.294Z,newsletter,everyone,Just technology,Why are we even here?,
144380847.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
